edition,source,column_year,jurisdiction,side,instrument,value_usd_bn,unit_published,note
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Ireland,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Sweden,short,total,-0.42,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Sweden,short,equities,-0.06,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Sweden,short,st_debt,-0.31,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Sweden,short,lt_debt,-0.05,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Netherlands,short,total,-0.75,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Netherlands,short,equities,-0.16,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Netherlands,short,st_debt,-0.59,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Netherlands,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,British Virgin Islands,short,total,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,British Virgin Islands,short,equities,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,British Virgin Islands,short,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,British Virgin Islands,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Developed Countries,short,total,-1.52,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Developed Countries,short,equities,-0.63,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Developed Countries,short,st_debt,-0.1,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Developed Countries,short,lt_debt,-0.79,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Offshore Centres,short,total,-0.77,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Offshore Centres,short,equities,-0.76,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Offshore Centres,short,st_debt,-0.01,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Other Offshore Centres,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Europe,short,total,-0.01,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Europe,short,equities,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Europe,short,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Europe,short,lt_debt,-0.01,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Latin America and the Caribbean,short,total,-0.51,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Latin America and the Caribbean,short,equities,-0.1,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Latin America and the Caribbean,short,st_debt,-0.41,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Latin America and the Caribbean,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Africa and the Middle East,short,total,-0.03,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Developing Africa and the Middle East,short,equities,-0.02,US$ bn,
